Unnamed: 0,Year,State,Never smoked,Smokers
215,2004,Tennessee,0.517,0.483
216,2000,Texas,0.562,0.438
217,2008,Tennessee,0.55,0.45
218,2006,South Carolina,0.5329999999999999,0.467
219,2000,Iowa,0.537,0.463
220,2006,Pennsylvania,0.53,0.47
221,2005,Missouri,0.524,0.476
222,2009,Utah,0.7509999999999999,0.24900000000000005
223,1999,Colorado,0.517,0.483
224,1999,New York,0.551,0.449
225,1997,Rhode Island,0.49,0.51
226,2004,Kentucky,0.521,0.479
227,2000,Pennsylvania,0.511,0.489
228,2006,Alaska,0.485,0.515
229,2010,Wisconsin,0.546,0.454
230,1995,Ohio,0.502,0.498
231,2006,Texas,0.604,0.396
232,2005,Rhode Island,0.514,0.486
233,1997,New York,0.532,0.468
234,2000,Maine,0.463,0.537
235,2004,Maryland,0.575,0.425
236,2003,California,0.58,0.42
237,2000,South Carolina,0.532,0.468
238,1997,Colorado,0.519,0.481
239,2010,Virginia,0.57,0.43
240,2005,Connecticut,0.541,0.459
241,2004,District of Columbia,0.599,0.401
242,1996,Connecticut,0.5,0.5
243,1996,Alaska,0.463,0.537
244,2010,Michigan,0.557,0.443
245,1999,Maryland,0.555,0.445
246,1995,Nevada,0.474,0.526
247,2003,Utah,0.715,0.285
248,2005,Nevada,0.529,0.471
249,2006,Virginia,0.555,0.445
250,2005,North Carolina,0.5379999999999999,0.462
251,2008,Texas,0.6,0.4
252,2003,Indiana,0.495,0.505
253,1997,Wyoming,0.506,0.494
254,2001,Maryland,0.542,0.458
255,1998,Florida,0.519,0.481
256,2008,Alaska,0.5,0.5
257,1996,Alabama,0.561,0.439
258,2001,North Carolina,0.504,0.496
259,1997,Washington,0.493,0.507
260,2001,Delaware,0.495,0.505
261,2006,Arkansas,0.512,0.488
262,1996,Louisiana,0.527,0.473
263,2008,Indiana,0.51,0.49
264,1997,Maryland,0.568,0.4320000000000001
265,2007,Arkansas,0.539,0.461
266,2008,Arkansas,0.514,0.486
267,2009,Virginia,0.565,0.435
268,2004,South Carolina,0.5379999999999999,0.462
269,2001,Nebraska,0.574,0.426
270,2003,Montana,0.516,0.484
271,1996,Maine,0.469,0.531
272,1996,Tennessee,0.522,0.478
273,1997,New Jersey,0.524,0.476
274,1999,Iowa,0.519,0.481
275,1997,Arkansas,0.514,0.486
276,1998,Rhode Island,0.484,0.516
277,2008,Maryland,0.609,0.391
278,2010,Ohio,0.529,0.471
279,2007,Rhode Island,0.546,0.454
280,1995,Indiana,0.5,0.5
281,2007,Oklahoma,0.51,0.49
282,1999,Rhode Island,0.522,0.478
283,2009,Hawaii,0.5770000000000001,0.423
284,2005,Washington,0.551,0.449
285,2003,Maryland,0.562,0.438
286,2000,Nevada,0.443,0.557
287,2001,New Jersey,0.527,0.473
288,1995,North Dakota,0.532,0.468
289,2006,Michigan,0.522,0.478
290,2006,Wyoming,0.535,0.465
291,2001,Alabama,0.528,0.472
292,2003,Pennsylvania,0.494,0.506
293,2004,Vermont,0.494,0.506
294,2004,Rhode Island,0.499,0.501
295,1995,Georgia,0.616,0.384
296,2005,Illinois,0.561,0.439
297,1995,Montana,0.498,0.502
298,2004,Wisconsin,0.5379999999999999,0.462
299,2007,Maryland,0.593,0.407
300,2007,Alabama,0.5429999999999999,0.457
301,2006,Massachusetts,0.545,0.455
302,2001,Oregon,0.509,0.491
303,2010,Illinois,0.595,0.405
304,2003,Oklahoma,0.527,0.473
305,2000,New Hampshire,0.45,0.55
306,2009,Maine,0.516,0.484
307,2010,Connecticut,0.5760000000000001,0.424
308,2003,Texas,0.563,0.4370000000000001
